County,Year,Tax_type,Amount
Leitrim,2020,Capital Gains Tax,0.95
Leitrim,2020,Income Taxes,156.87
Leitrim,2020,Total,180.48000000000002
Limerick,2020,VAT,183.58
Limerick,2020,Corporation Tax,190.49
Limerick,2020,Capital Gains Tax,32.21
Limerick,2020,Income Taxes,648.63
Limerick,2020,Total,1054.91
Longford,2020,VAT,25.69
Longford,2020,Corporation Tax,10.21
Longford,2020,Capital Gains Tax,2.71
Longford,2020,Income Taxes,61.129999999999995
Longford,2020,Total,99.74
Louth,2020,VAT,145.85
Louth,2020,Corporation Tax,46.9
Louth,2020,Capital Gains Tax,11.57
Louth,2020,Income Taxes,257.83000000000004
Louth,2020,Total,462.15000000000003
Mayo,2020,VAT,96.04
Mayo,2020,Corporation Tax,122.3
Mayo,2020,Capital Gains Tax,8.37
Mayo,2020,Income Taxes,221.12
Mayo,2020,Total,447.83
Meath,2020,VAT,225.85
Meath,2020,Corporation Tax,133.64
Meath,2020,Capital Gains Tax,33.15
Meath,2020,Income Taxes,458.52
Meath,2020,Total,851.16
Monaghan,2020,VAT,63.14
Monaghan,2020,Corporation Tax,33.06
Monaghan,2020,Capital Gains Tax,4.74
Monaghan,2020,Income Taxes,94.67
Monaghan,2020,Total,195.61
Offaly,2020,VAT,56.63
Offaly,2020,Corporation Tax,31.35
Offaly,2020,Capital Gains Tax,5.61
Offaly,2020,Income Taxes,278.88
Offaly,2020,Total,372.47
Roscommon,2020,VAT,52.57
Roscommon,2020,Corporation Tax,13.54
Roscommon,2020,Capital Gains Tax,2.63
Roscommon,2020,Income Taxes,64.17
Roscommon,2020,Total,132.91
Sligo,2020,VAT,41.48
Sligo,2020,Corporation Tax,27.99
Sligo,2020,Capital Gains Tax,4.44
Sligo,2020,Income Taxes,126.71
Sligo,2020,Total,200.61999999999998
Tipperary,2020,VAT,147.21
Tipperary,2020,Corporation Tax,42.8
Tipperary,2020,Capital Gains Tax,10.51
Tipperary,2020,Income Taxes,227.33
Tipperary,2020,Total,427.85
Waterford,2020,VAT,106.96
Waterford,2020,Corporation Tax,88.67
Waterford,2020,Capital Gains Tax,10.68
Waterford,2020,Income Taxes,257.09
Waterford,2020,Total,463.4
Westmeath,2020,VAT,79.08
Westmeath,2020,Corporation Tax,40.96
Westmeath,2020,Capital Gains Tax,13.54
Westmeath,2020,Income Taxes,1062.28
Westmeath,2020,Total,1195.86
Wexford,2020,VAT,121.34
Wexford,2020,Corporation Tax,76.23
Wexford,2020,Capital Gains Tax,10.76
Wexford,2020,Income Taxes,223.85000000000002
Wexford,2020,Total,432.18
Wicklow,2020,VAT,141.66
Wicklow,2020,Corporation Tax,45.75
Wicklow,2020,Capital Gains Tax,34.74
Wicklow,2020,Income Taxes,258.98
Wicklow,2020,Total,481.13
Other / Foreign,2020,VAT,684.37
Other / Foreign,2020,Corporation Tax,81
Other / Foreign,2020,Capital Gains Tax,22.22
Other / Foreign,2020,Income Taxes,307.43
Other / Foreign,2020,Total,1095.02
Carlow,2019,VAT,73.4
Carlow,2019,Corporation Tax,20.66
Carlow,2019,Capital Gains Tax,5.76
Carlow,2019,Income Taxes,128.49
Carlow,2019,Total,228.31
Cavan,2019,VAT,89.19
Cavan,2019,Corporation Tax,37.39
Cavan,2019,Capital Gains Tax,20.78
Cavan,2019,Income Taxes,159.88
Cavan,2019,Total,307.24
Clare,2019,VAT,135.12
Clare,2019,Corporation Tax,357
Clare,2019,Capital Gains Tax,15.12
Clare,2019,Income Taxes,358.53000000000003
Clare,2019,Total,865.77
Cork,2019,VAT,1156.86
Cork,2019,Corporation Tax,2274.01
Cork,2019,Capital Gains Tax,83.65
Cork,2019,Income Taxes,1955.1999999999998
Cork,2019,Total,5469.72
Donegal,2019,VAT,122.29
Donegal,2019,Corporation Tax,50.27
Donegal,2019,Capital Gains Tax,15.31
Donegal,2019,Income Taxes,209.68
Donegal,2019,Total,397.55
Dublin,2019,VAT,7928.75
Dublin,2019,Corporation Tax,6694.55
Dublin,2019,Capital Gains Tax,567.51
Dublin,2019,Income Taxes,11208.41
Dublin,2019,Total,26399.22
Galway,2019,VAT,318.27
Galway,2019,Corporation Tax,166.49
Galway,2019,Capital Gains Tax,47.99
Galway,2019,Income Taxes,906.63
Galway,2019,Total,1439.3799999999999
Kerry,2019,VAT,151.77
Kerry,2019,Corporation Tax,41.18
Kerry,2019,Capital Gains Tax,43.14
Kerry,2019,Income Taxes,648.39
Kerry,2019,Total,884.48
Kildare,2019,VAT,378
Kildare,2019,Corporation Tax,287.32
Kildare,2019,Capital Gains Tax,45.98
Kildare,2019,Income Taxes,793.89
Kildare,2019,Total,1505.19
Kilkenny,2019,VAT,105.18
Kilkenny,2019,Corporation Tax,39.15
Kilkenny,2019,Capital Gains Tax,11.47
Kilkenny,2019,Income Taxes,316.47
Kilkenny,2019,Total,472.27000000000004
Laois,2019,VAT,72.32
Laois,2019,Corporation Tax,15.25
Laois,2019,Capital Gains Tax,6.42
Laois,2019,Income Taxes,87.38
Laois,2019,Total,181.36999999999998
Leitrim,2019,VAT,17.6
Leitrim,2019,Corporation Tax,8.75
Leitrim,2019,Capital Gains Tax,0.89
Leitrim,2019,Income Taxes,149.91
Leitrim,2019,Total,177.15
Limerick,2019,VAT,233.29
Limerick,2019,Corporation Tax,146.97
Limerick,2019,Capital Gains Tax,18.61
Limerick,2019,Income Taxes,677.66
Limerick,2019,Total,1076.53
Longford,2019,VAT,29.95
Longford,2019,Corporation Tax,10.85
Longford,2019,Capital Gains Tax,2.29
Longford,2019,Income Taxes,66.71
Longford,2019,Total,109.8
Louth,2019,VAT,199.78
Louth,2019,Corporation Tax,40.41
Louth,2019,Capital Gains Tax,5.74
Louth,2019,Income Taxes,265.9
Louth,2019,Total,511.83
Mayo,2019,VAT,122.48
Mayo,2019,Corporation Tax,54.23
Mayo,2019,Capital Gains Tax,8.01
Mayo,2019,Income Taxes,233.84
Mayo,2019,Total,418.56
Meath,2019,VAT,269.09
Meath,2019,Corporation Tax,110.09
Meath,2019,Capital Gains Tax,38.99
Meath,2019,Income Taxes,493.23
Meath,2019,Total,911.4
Monaghan,2019,VAT,76.62
Monaghan,2019,Corporation Tax,30.34
Monaghan,2019,Capital Gains Tax,4.9
Monaghan,2019,Income Taxes,106.87
Monaghan,2019,Total,218.73000000000002
Offaly,2019,VAT,66.46
Offaly,2019,Corporation Tax,26.14
Offaly,2019,Capital Gains Tax,4.84
Offaly,2019,Income Taxes,280.75
Offaly,2019,Total,378.19
Roscommon,2019,VAT,63.73
Roscommon,2019,Corporation Tax,11.24
Roscommon,2019,Capital Gains Tax,3.43
Roscommon,2019,Income Taxes,68.71
Roscommon,2019,Total,147.10999999999999
Sligo,2019,VAT,51.92
Sligo,2019,Corporation Tax,16.4
Sligo,2019,Capital Gains Tax,5.67
Sligo,2019,Income Taxes,133.23
Sligo,2019,Total,207.22
Tipperary,2019,VAT,175.65
Tipperary,2019,Corporation Tax,39.27
Tipperary,2019,Capital Gains Tax,11.52
Tipperary,2019,Income Taxes,249.41
Tipperary,2019,Total,475.85
Waterford,2019,VAT,121.97
Waterford,2019,Corporation Tax,83.87
Waterford,2019,Capital Gains Tax,11.96
Waterford,2019,Income Taxes,277.23
Waterford,2019,Total,495.03000000000003
Westmeath,2019,VAT,94.22
Westmeath,2019,Corporation Tax,36.02
Westmeath,2019,Capital Gains Tax,16.23
Westmeath,2019,Income Taxes,959.78
Westmeath,2019,Total,1106.25
Wexford,2019,VAT,152.76
Wexford,2019,Corporation Tax,70.2
Wexford,2019,Capital Gains Tax,11.53
Wexford,2019,Income Taxes,257.77
Wexford,2019,Total,492.26
Wicklow,2019,VAT,185.02
Wicklow,2019,Corporation Tax,38.04
Wicklow,2019,Capital Gains Tax,35.41
Wicklow,2019,Income Taxes,285.96
Wicklow,2019,Total,544.43
Other / Foreign,2019,VAT,802.32
Other / Foreign,2019,Corporation Tax,180.89
Other / Foreign,2019,Capital Gains Tax,32.85
Other / Foreign,2019,Income Taxes,308.12
Other / Foreign,2019,Total,1324.18
Carlow,2018,VAT,65.68
Carlow,2018,Corporation Tax,18.44
Carlow,2018,Capital Gains Tax,10.18
Carlow,2018,Income Taxes,117.86
Carlow,2018,Total,212.16
Cavan,2018,VAT,84.01
Cavan,2018,Corporation Tax,37.34
Cavan,2018,Capital Gains Tax,17.94
Cavan,2018,Income Taxes,152.75
Cavan,2018,Total,292.04
Clare,2018,VAT,124.38
Clare,2018,Corporation Tax,125.69
Clare,2018,Capital Gains Tax,11.21
Clare,2018,Income Taxes,332.91999999999996
Clare,2018,Total,594.1999999999999
Cork,2018,VAT,1079.03
Cork,2018,Corporation Tax,2147.48
Cork,2018,Capital Gains Tax,71.27
Cork,2018,Income Taxes,1810.01
Cork,2018,Total,5107.79
Donegal,2018,VAT,116.28
Donegal,2018,Corporation Tax,40.4
Donegal,2018,Capital Gains Tax,16.82
Donegal,2018,Income Taxes,189.93
Donegal,2018,Total,363.43
Dublin,2018,VAT,7491.28
Dublin,2018,Corporation Tax,6547.76
Dublin,2018,Capital Gains Tax,475.87
Dublin,2018,Income Taxes,10282.48
Dublin,2018,Total,24797.39
Galway,2018,VAT,304.99
Galway,2018,Corporation Tax,154.95
Galway,2018,Capital Gains Tax,45.63
Galway,2018,Income Taxes,832.7800000000001
Galway,2018,Total,1338.3500000000001
Kerry,2018,VAT,156.52
Kerry,2018,Corporation Tax,33.11
Kerry,2018,Capital Gains Tax,43.87
Kerry,2018,Income Taxes,617.4
Kerry,2018,Total,850.9
Kildare,2018,VAT,368.57
Kildare,2018,Corporation Tax,248.78
Kildare,2018,Capital Gains Tax,42.39
Kildare,2018,Income Taxes,743.01
Kildare,2018,Total,1402.75
Kilkenny,2018,VAT,91.94
Kilkenny,2018,Corporation Tax,39.07
Kilkenny,2018,Capital Gains Tax,12.52
Kilkenny,2018,Income Taxes,289.99
Kilkenny,2018,Total,433.52
Laois,2018,VAT,71.61
Laois,2018,Corporation Tax,13.78
Laois,2018,Capital Gains Tax,6.07
Laois,2018,Income Taxes,80.72999999999999
Laois,2018,Total,172.19
Leitrim,2018,VAT,16.3
Leitrim,2018,Corporation Tax,9.86
Leitrim,2018,Capital Gains Tax,0.94
Leitrim,2018,Income Taxes,137.37
Leitrim,2018,Total,164.47
Limerick,2018,VAT,228.09
Limerick,2018,Corporation Tax,139.67
Limerick,2018,Capital Gains Tax,17.63
Limerick,2018,Income Taxes,621.76
Limerick,2018,Total,1007.15
Longford,2018,VAT,26.32
Longford,2018,Corporation Tax,7.71
Longford,2018,Capital Gains Tax,0.75
Longford,2018,Income Taxes,59.97
Longford,2018,Total,94.75
Louth,2018,VAT,188.55
Louth,2018,Corporation Tax,39.19
Louth,2018,Capital Gains Tax,8.94
Louth,2018,Income Taxes,249.87
Louth,2018,Total,486.55
Mayo,2018,VAT,113.18
Mayo,2018,Corporation Tax,48.72
Mayo,2018,Capital Gains Tax,13.36
Mayo,2018,Income Taxes,215.88
Mayo,2018,Total,391.14
Meath,2018,VAT,258.83
Meath,2018,Corporation Tax,73.45
Meath,2018,Capital Gains Tax,30.41
Meath,2018,Income Taxes,449.23
Meath,2018,Total,811.92
Monaghan,2018,VAT,68.7
Monaghan,2018,Corporation Tax,28.24
Monaghan,2018,Capital Gains Tax,3.04
Monaghan,2018,Income Taxes,97.2
Monaghan,2018,Total,197.18
Offaly,2018,VAT,61.64
Offaly,2018,Corporation Tax,20.8
Offaly,2018,Capital Gains Tax,3.51
Offaly,2018,Income Taxes,248.37
Offaly,2018,Total,334.32
Roscommon,2018,VAT,59.84
Roscommon,2018,Corporation Tax,11
Roscommon,2018,Capital Gains Tax,1.91
Roscommon,2018,Income Taxes,63.510000000000005
Roscommon,2018,Total,136.26000000000002
Sligo,2018,VAT,43.27
Sligo,2018,Corporation Tax,36.78
Sligo,2018,Capital Gains Tax,4.91
Sligo,2018,Income Taxes,123.88000000000001
Sligo,2018,Total,208.84
Tipperary,2018,VAT,160.52
Tipperary,2018,Corporation Tax,50.18
Tipperary,2018,Capital Gains Tax,12.46
Tipperary,2018,Income Taxes,236.60000000000002
Tipperary,2018,Total,459.76000000000005
Waterford,2018,VAT,104.65
Waterford,2018,Corporation Tax,100.91
Waterford,2018,Capital Gains Tax,9.4
Waterford,2018,Income Taxes,253.17
Waterford,2018,Total,468.13
Westmeath,2018,VAT,89.28
Westmeath,2018,Corporation Tax,40.25
Westmeath,2018,Capital Gains Tax,18.85
Westmeath,2018,Income Taxes,967.48
Westmeath,2018,Total,1115.8600000000001
Wexford,2018,VAT,147.85
Wexford,2018,Corporation Tax,68.28
Wexford,2018,Capital Gains Tax,12.5
Wexford,2018,Income Taxes,241.8
Wexford,2018,Total,470.43
Wicklow,2018,VAT,164.16
Wicklow,2018,Corporation Tax,87.39
Wicklow,2018,Capital Gains Tax,32.53
Wicklow,2018,Income Taxes,271.39
Wicklow,2018,Total,555.47
Other / Foreign,2018,VAT,650.24
Other / Foreign,2018,Corporation Tax,217.76
Other / Foreign,2018,Capital Gains Tax,71.09
Other / Foreign,2018,Income Taxes,286.64
Other / Foreign,2018,Total,1225.73
Carlow,2017,VAT,58.94
Carlow,2017,Corporation Tax,15.96
Carlow,2017,Capital Gains Tax,1.89
Carlow,2017,Income Taxes,111.10000000000001
Carlow,2017,Total,187.89000000000001
Cavan,2017,VAT,81.9
Cavan,2017,Corporation Tax,21.2
Cavan,2017,Capital Gains Tax,13.52
Cavan,2017,Income Taxes,142.98000000000002
Cavan,2017,Total,259.6
Clare,2017,VAT,120.22
Clare,2017,Corporation Tax,117.15
Clare,2017,Capital Gains Tax,7.69
Clare,2017,Income Taxes,312.7
Clare,2017,Total,557.76
Cork,2017,VAT,941.07
Cork,2017,Corporation Tax,1672.01
Cork,2017,Capital Gains Tax,62.22
Cork,2017,Income Taxes,1672.06
Cork,2017,Total,4347.36
Donegal,2017,VAT,115.63
Donegal,2017,Corporation Tax,33.36
Donegal,2017,Capital Gains Tax,8.8
Donegal,2017,Income Taxes,178
Donegal,2017,Total,335.79
Dublin,2017,VAT,7037.14
Dublin,2017,Corporation Tax,5049.87
Dublin,2017,Capital Gains Tax,359.57
Dublin,2017,Income Taxes,9567.449999999999
Dublin,2017,Total,22014.03
Galway,2017,VAT,292.82
Galway,2017,Corporation Tax,135.44
Galway,2017,Capital Gains Tax,50.09
Galway,2017,Income Taxes,780.0799999999999
Galway,2017,Total,1258.4299999999998
Kerry,2017,VAT,131.48
Kerry,2017,Corporation Tax,29.95
Kerry,2017,Capital Gains Tax,31.82
Kerry,2017,Income Taxes,587.2800000000001
Kerry,2017,Total,780.5300000000001
Kildare,2017,VAT,341.69
Kildare,2017,Corporation Tax,241.68
Kildare,2017,Capital Gains Tax,30.55
Kildare,2017,Income Taxes,697.58
Kildare,2017,Total,1311.5
Kilkenny,2017,VAT,86.48
Kilkenny,2017,Corporation Tax,27.18
Kilkenny,2017,Capital Gains Tax,14.9
Kilkenny,2017,Income Taxes,277.47
Kilkenny,2017,Total,406.03000000000003
Laois,2017,VAT,63.97
Laois,2017,Corporation Tax,10.05
Laois,2017,Capital Gains Tax,4.03
Laois,2017,Income Taxes,75.49
Laois,2017,Total,153.54
Leitrim,2017,VAT,17.84
Leitrim,2017,Corporation Tax,6.04
Leitrim,2017,Capital Gains Tax,3.18
Leitrim,2017,Income Taxes,129.1
Leitrim,2017,Total,156.16
Limerick,2017,VAT,213.51
Limerick,2017,Corporation Tax,104.78
Limerick,2017,Capital Gains Tax,18.09
Limerick,2017,Income Taxes,558.01
Limerick,2017,Total,894.39
Longford,2017,VAT,22.26
Longford,2017,Corporation Tax,7.02
Longford,2017,Capital Gains Tax,3.5
Longford,2017,Income Taxes,57.019999999999996
Longford,2017,Total,89.8
Louth,2017,VAT,178.34
Louth,2017,Corporation Tax,29.38
Louth,2017,Capital Gains Tax,15.14
Louth,2017,Income Taxes,241.01999999999998
Louth,2017,Total,463.88
Mayo,2017,VAT,108.83
Mayo,2017,Corporation Tax,101.81
Mayo,2017,Capital Gains Tax,7.87
Mayo,2017,Income Taxes,202.77
Mayo,2017,Total,421.28000000000003
Meath,2017,VAT,239.22
Meath,2017,Corporation Tax,120.38
Meath,2017,Capital Gains Tax,22.33
Meath,2017,Income Taxes,420.37
Meath,2017,Total,802.3
Monaghan,2017,VAT,67.78
Monaghan,2017,Corporation Tax,21.6
Monaghan,2017,Capital Gains Tax,3.64
Monaghan,2017,Income Taxes,92.49000000000001
Monaghan,2017,Total,185.51000000000002
Offaly,2017,VAT,56.41
Offaly,2017,Corporation Tax,18.61
Offaly,2017,Capital Gains Tax,4.81
Offaly,2017,Income Taxes,239.33
Offaly,2017,Total,319.16
Roscommon,2017,VAT,55.73
Roscommon,2017,Corporation Tax,8.14
Roscommon,2017,Capital Gains Tax,13.01
Roscommon,2017,Income Taxes,61.34
Roscommon,2017,Total,138.22
Sligo,2017,VAT,41.29
Sligo,2017,Corporation Tax,16.91
Sligo,2017,Capital Gains Tax,10.25
Sligo,2017,Income Taxes,112.82
Sligo,2017,Total,181.26999999999998
Tipperary,2017,VAT,148.61
Tipperary,2017,Corporation Tax,33.32
Tipperary,2017,Capital Gains Tax,13.13
Tipperary,2017,Income Taxes,222.94
Tipperary,2017,Total,418
Waterford,2017,VAT,99.51
Waterford,2017,Corporation Tax,81.97
Waterford,2017,Capital Gains Tax,8.94
Waterford,2017,Income Taxes,245.07999999999998
Waterford,2017,Total,435.5
Westmeath,2017,VAT,82.44
Westmeath,2017,Corporation Tax,33.53
Westmeath,2017,Capital Gains Tax,28.48
Westmeath,2017,Income Taxes,890.0600000000001
Westmeath,2017,Total,1034.51
Wexford,2017,VAT,136.39
Wexford,2017,Corporation Tax,58.65
Wexford,2017,Capital Gains Tax,11.12
Wexford,2017,Income Taxes,227.34
Wexford,2017,Total,433.5
Wicklow,2017,VAT,152.04
Wicklow,2017,Corporation Tax,74.71
Wicklow,2017,Capital Gains Tax,38.35
Wicklow,2017,Income Taxes,283.29
Wicklow,2017,Total,548.39
Other / Foreign,2017,VAT,653.46
Other / Foreign,2017,Corporation Tax,130.32
Other / Foreign,2017,Capital Gains Tax,39.09
Other / Foreign,2017,Income Taxes,253.87
Other / Foreign,2017,Total,1076.74
Carlow,2016,VAT,56.51
Carlow,2016,Corporation Tax,10.07
Carlow,2016,Capital Gains Tax,1.56
Carlow,2016,Income Taxes,106.99000000000001
Carlow,2016,Total,175.13
Cavan,2016,VAT,74.29
Cavan,2016,Corporation Tax,25.06
Cavan,2016,Capital Gains Tax,2.48
Cavan,2016,Income Taxes,136.73
Cavan,2016,Total,238.56
Clare,2016,VAT,118.57
Clare,2016,Corporation Tax,120.75
Clare,2016,Capital Gains Tax,10.96
Clare,2016,Income Taxes,299.96
Clare,2016,Total,550.24
Cork,2016,VAT,913.46
Cork,2016,Corporation Tax,1503.22
Cork,2016,Capital Gains Tax,59.98
Cork,2016,Income Taxes,1596.3600000000001
Cork,2016,Total,4073.02
Donegal,2016,VAT,102.46
Donegal,2016,Corporation Tax,31.49
Donegal,2016,Capital Gains Tax,4.85
Donegal,2016,Income Taxes,165.12
Donegal,2016,Total,303.92
Dublin,2016,VAT,6605.75
Dublin,2016,Corporation Tax,4638.67
Dublin,2016,Capital Gains Tax,381.45
Dublin,2016,Income Taxes,9175.970000000001
Dublin,2016,Total,20801.84
Galway,2016,VAT,257.17
Galway,2016,Corporation Tax,142.33
Galway,2016,Capital Gains Tax,37.78
Galway,2016,Income Taxes,726.12
Galway,2016,Total,1163.4
Kerry,2016,VAT,123.6
Kerry,2016,Corporation Tax,25.41
Kerry,2016,Capital Gains Tax,26
Kerry,2016,Income Taxes,545.01
Kerry,2016,Total,720.02
Kildare,2016,VAT,339.2
Kildare,2016,Corporation Tax,83.23
Kildare,2016,Capital Gains Tax,71.33
Kildare,2016,Income Taxes,665.32
Kildare,2016,Total,1159.08
Kilkenny,2016,VAT,87.24
Kilkenny,2016,Corporation Tax,36.06
Kilkenny,2016,Capital Gains Tax,14.39
Kilkenny,2016,Income Taxes,254.44
Kilkenny,2016,Total,392.13
Laois,2016,VAT,58.48
Laois,2016,Corporation Tax,10.63
Laois,2016,Capital Gains Tax,4.95
Laois,2016,Income Taxes,70.17
Laois,2016,Total,144.23
Leitrim,2016,VAT,16.27
Leitrim,2016,Corporation Tax,4.48
Leitrim,2016,Capital Gains Tax,0.84
Leitrim,2016,Income Taxes,121.36
Leitrim,2016,Total,142.95
Limerick,2016,VAT,196.4
Limerick,2016,Corporation Tax,94.81
Limerick,2016,Capital Gains Tax,20.12
Limerick,2016,Income Taxes,528.02
Limerick,2016,Total,839.35
Longford,2016,VAT,21.52
Longford,2016,Corporation Tax,8.55
Longford,2016,Capital Gains Tax,5.88
Longford,2016,Income Taxes,51.19
Longford,2016,Total,87.14
Louth,2016,VAT,157.23
Louth,2016,Corporation Tax,25.52
Louth,2016,Capital Gains Tax,5.94
Louth,2016,Income Taxes,221
Louth,2016,Total,409.69
Mayo,2016,VAT,113.2
Mayo,2016,Corporation Tax,65.42
Mayo,2016,Capital Gains Tax,5.43
Mayo,2016,Income Taxes,194.3
Mayo,2016,Total,378.35
Meath,2016,VAT,216.52
Meath,2016,Corporation Tax,67.38
Meath,2016,Capital Gains Tax,16.98
Meath,2016,Income Taxes,500.4
Meath,2016,Total,801.28
Monaghan,2016,VAT,62.39
Monaghan,2016,Corporation Tax,19.46
Monaghan,2016,Capital Gains Tax,2.32
Monaghan,2016,Income Taxes,88.19
Monaghan,2016,Total,172.35999999999999
Offaly,2016,VAT,72.03
Offaly,2016,Corporation Tax,14.97
Offaly,2016,Capital Gains Tax,6.11
Offaly,2016,Income Taxes,252.55
Offaly,2016,Total,345.66
Roscommon,2016,VAT,55.95
Roscommon,2016,Corporation Tax,7.15
Roscommon,2016,Capital Gains Tax,3.48
Roscommon,2016,Income Taxes,59.32
Roscommon,2016,Total,125.9
Sligo,2016,VAT,38.52
Sligo,2016,Corporation Tax,24.01
Sligo,2016,Capital Gains Tax,2.97
Sligo,2016,Income Taxes,113.59
Sligo,2016,Total,179.09
Tipperary,2016,VAT,146.08
Tipperary,2016,Corporation Tax,27.74
Tipperary,2016,Capital Gains Tax,11.71
Tipperary,2016,Income Taxes,212.02
Tipperary,2016,Total,397.55
Waterford,2016,VAT,93.85
Waterford,2016,Corporation Tax,84.49
Waterford,2016,Capital Gains Tax,8.29
Waterford,2016,Income Taxes,232.31
Waterford,2016,Total,418.94
Westmeath,2016,VAT,77.33
Westmeath,2016,Corporation Tax,33.65
Westmeath,2016,Capital Gains Tax,11.62
Westmeath,2016,Income Taxes,826.64
Westmeath,2016,Total,949.24
Wexford,2016,VAT,130.54
Wexford,2016,Corporation Tax,56.87
Wexford,2016,Capital Gains Tax,11.04
Wexford,2016,Income Taxes,210.75
Wexford,2016,Total,409.2
Wicklow,2016,VAT,147.41
Wicklow,2016,Corporation Tax,135.46
Wicklow,2016,Capital Gains Tax,35.78
Wicklow,2016,Income Taxes,285.26
Wicklow,2016,Total,603.91
Other / Foreign,2016,VAT,612.03
Other / Foreign,2016,Corporation Tax,55.08
Other / Foreign,2016,Capital Gains Tax,54.77
Other / Foreign,2016,Income Taxes,228.85
Other / Foreign,2016,Total,950.73
Carlow,2015,VAT,52.68
Carlow,2015,Corporation Tax,8.64
Carlow,2015,Capital Gains Tax,1.52
Carlow,2015,Income Taxes,103.89
Carlow,2015,Total,166.73
Cavan,2015,VAT,68.05
Cavan,2015,Corporation Tax,16.36
Cavan,2015,Capital Gains Tax,2.2
Cavan,2015,Income Taxes,131.17000000000002
Cavan,2015,Total,217.78
Clare,2015,VAT,91.49
Clare,2015,Corporation Tax,221.31
Clare,2015,Capital Gains Tax,6.1
Clare,2015,Income Taxes,267.87
Clare,2015,Total,586.77
Cork,2015,VAT,888.77
Cork,2015,Corporation Tax,1671.69
Cork,2015,Capital Gains Tax,66.86
Cork,2015,Income Taxes,1498.8000000000002
Cork,2015,Total,4126.12
Donegal,2015,VAT,96.08
Donegal,2015,Corporation Tax,33.02
Donegal,2015,Capital Gains Tax,3.59
Donegal,2015,Income Taxes,156.22
Donegal,2015,Total,288.91
Dublin,2015,VAT,6241.46
Dublin,2015,Corporation Tax,3893.77
Dublin,2015,Capital Gains Tax,335
Dublin,2015,Income Taxes,8388.16
Dublin,2015,Total,18858.39
Galway,2015,VAT,241.52
Galway,2015,Corporation Tax,110.97
Galway,2015,Capital Gains Tax,34.44
Galway,2015,Income Taxes,726.07
Galway,2015,Total,1113
Kerry,2015,VAT,120.52
Kerry,2015,Corporation Tax,23
Kerry,2015,Capital Gains Tax,28.28
Kerry,2015,Income Taxes,527.4499999999999
Kerry,2015,Total,699.2499999999999
Kildare,2015,VAT,329.33
Kildare,2015,Corporation Tax,99.5
Kildare,2015,Capital Gains Tax,20.51
Kildare,2015,Income Taxes,637.85
Kildare,2015,Total,1087.19
Kilkenny,2015,VAT,78.03
Kilkenny,2015,Corporation Tax,21.22
Kilkenny,2015,Capital Gains Tax,7.77
Kilkenny,2015,Income Taxes,240.32
Kilkenny,2015,Total,347.34
Laois,2015,VAT,55.17
Laois,2015,Corporation Tax,5.7
Laois,2015,Capital Gains Tax,3.69
Laois,2015,Income Taxes,62.51
Laois,2015,Total,127.07
Leitrim,2015,VAT,15.48
Leitrim,2015,Corporation Tax,4.32
Leitrim,2015,Capital Gains Tax,0.58
Leitrim,2015,Income Taxes,114.96
Leitrim,2015,Total,135.34
Limerick,2015,VAT,193.97
Limerick,2015,Corporation Tax,140.11
Limerick,2015,Capital Gains Tax,13.48
Limerick,2015,Income Taxes,500.69
Limerick,2015,Total,848.25
Longford,2015,VAT,20.78
Longford,2015,Corporation Tax,5.33
Longford,2015,Capital Gains Tax,1.47
Longford,2015,Income Taxes,47.35
Longford,2015,Total,74.93
Louth,2015,VAT,149.59
Louth,2015,Corporation Tax,23.34
Louth,2015,Capital Gains Tax,6.34
Louth,2015,Income Taxes,209.38
Louth,2015,Total,388.65
Mayo,2015,VAT,116.91
Mayo,2015,Corporation Tax,67.46
Mayo,2015,Capital Gains Tax,8.37
Mayo,2015,Income Taxes,189.96
Mayo,2015,Total,382.7
Meath,2015,VAT,202.2
Meath,2015,Corporation Tax,63.64
Meath,2015,Capital Gains Tax,23
Meath,2015,Income Taxes,360.21
Meath,2015,Total,649.05
Monaghan,2015,VAT,55.4
Monaghan,2015,Corporation Tax,19.4
Monaghan,2015,Capital Gains Tax,1.35
Monaghan,2015,Income Taxes,81.31
Monaghan,2015,Total,157.46
Offaly,2015,VAT,57.4
Offaly,2015,Corporation Tax,10.33
Offaly,2015,Capital Gains Tax,2.03
Offaly,2015,Income Taxes,234.7
Offaly,2015,Total,304.46
Other / Foreign,2015,VAT,610.29
Other / Foreign,2015,Corporation Tax,58.13
Other / Foreign,2015,Capital Gains Tax,38.98
Other / Foreign,2015,Income Taxes,207.19
Other / Foreign,2015,Total,914.5899999999999
Roscommon,2015,VAT,52.19
Roscommon,2015,Corporation Tax,6.04
Roscommon,2015,Capital Gains Tax,1.42
Roscommon,2015,Income Taxes,54.44
Roscommon,2015,Total,114.08999999999999
Sligo,2015,VAT,40.46
Sligo,2015,Corporation Tax,37.84
Sligo,2015,Capital Gains Tax,3.39
Sligo,2015,Income Taxes,104.58
Sligo,2015,Total,186.27
Tipperary,2015,VAT,138.96
Tipperary,2015,Corporation Tax,34.04
Tipperary,2015,Capital Gains Tax,9.97
Tipperary,2015,Income Taxes,202.92000000000002
Tipperary,2015,Total,385.89000000000004
Waterford,2015,VAT,91.29
Waterford,2015,Corporation Tax,28.88
Waterford,2015,Capital Gains Tax,9.13
Waterford,2015,Income Taxes,221.63
Waterford,2015,Total,350.93
Westmeath,2015,VAT,71.96
Westmeath,2015,Corporation Tax,27.7
