County,Year,Tax_type,Amount
Clare,2024,Corporation Tax,263.27
Clare,2024,Capital Gains Tax,31.19
Clare,2024,Income Taxes,503.43
Clare,2024,Total,1010.41
Cork,2024,VAT,2061.94
Cork,2024,Corporation Tax,21371.81
Cork,2024,Capital Gains Tax,175.85
Cork,2024,Income Taxes,2905.82
Cork,2024,Total,26515.420000000002
Donegal,2024,VAT,221.38
Donegal,2024,Corporation Tax,110.04
Donegal,2024,Capital Gains Tax,14.01
Donegal,2024,Income Taxes,336.65999999999997
Donegal,2024,Total,682.0899999999999
Dublin,2024,VAT,11702.91
Dublin,2024,Corporation Tax,14164.25
Dublin,2024,Capital Gains Tax,768.7
Dublin,2024,Income Taxes,17513.059999999998
Dublin,2024,Total,44148.92
Galway,2024,VAT,488.69
Galway,2024,Corporation Tax,405.1
Galway,2024,Capital Gains Tax,66.79
Galway,2024,Income Taxes,1368.07
Galway,2024,Total,2328.65
Kerry,2024,VAT,242.85
Kerry,2024,Corporation Tax,99.93
Kerry,2024,Capital Gains Tax,34.53
Kerry,2024,Income Taxes,961.47
Kerry,2024,Total,1338.78
Kildare,2024,VAT,591.44
Kildare,2024,Corporation Tax,262.07
Kildare,2024,Capital Gains Tax,100.27
Kildare,2024,Income Taxes,935.11
Kildare,2024,Total,1888.89
Kilkenny,2024,VAT,163.37
Kilkenny,2024,Corporation Tax,71
Kilkenny,2024,Capital Gains Tax,20.45
Kilkenny,2024,Income Taxes,485.18
Kilkenny,2024,Total,740
Laois,2024,VAT,119.99
Laois,2024,Corporation Tax,35.5
Laois,2024,Capital Gains Tax,10.84
Laois,2024,Income Taxes,136.87
Laois,2024,Total,303.2
Leitrim,2024,VAT,28.94
Leitrim,2024,Corporation Tax,22.91
Leitrim,2024,Capital Gains Tax,3.23
Leitrim,2024,Income Taxes,256.52
Leitrim,2024,Total,311.59999999999997
Limerick,2024,VAT,457.51
Limerick,2024,Corporation Tax,313.15
Limerick,2024,Capital Gains Tax,41.29
Limerick,2024,Income Taxes,999.21
Limerick,2024,Total,1811.16
Longford,2024,VAT,54.21
Longford,2024,Corporation Tax,32.37
Longford,2024,Capital Gains Tax,5.16
Longford,2024,Income Taxes,102.2
Longford,2024,Total,193.94
Louth,2024,VAT,318.39
Louth,2024,Corporation Tax,155.1
Louth,2024,Capital Gains Tax,30.24
Louth,2024,Income Taxes,404.74
Louth,2024,Total,908.47
Mayo,2024,VAT,196.31
Mayo,2024,Corporation Tax,251.62
Mayo,2024,Capital Gains Tax,21.19
Mayo,2024,Income Taxes,361.44000000000005
Mayo,2024,Total,830.5600000000001
Meath,2024,VAT,456.54
Meath,2024,Corporation Tax,355.49
Meath,2024,Capital Gains Tax,57.02
Meath,2024,Income Taxes,747.88
Meath,2024,Total,1616.93
Monaghan,2024,VAT,126.97
Monaghan,2024,Corporation Tax,92.8
Monaghan,2024,Capital Gains Tax,4.65
Monaghan,2024,Income Taxes,159.07
Monaghan,2024,Total,383.49
Offaly,2024,VAT,121.45
Offaly,2024,Corporation Tax,55.34
Offaly,2024,Capital Gains Tax,10.58
Offaly,2024,Income Taxes,415.08
Offaly,2024,Total,602.45
Roscommon,2024,VAT,118.88
Roscommon,2024,Corporation Tax,30.76
Roscommon,2024,Capital Gains Tax,16.03
Roscommon,2024,Income Taxes,107.87
Roscommon,2024,Total,273.54
Sligo,2024,VAT,100.21
Sligo,2024,Corporation Tax,52.79
Sligo,2024,Capital Gains Tax,11.4
Sligo,2024,Income Taxes,190
Sligo,2024,Total,354.4
Tipperary,2024,VAT,280.16
Tipperary,2024,Corporation Tax,83.7
Tipperary,2024,Capital Gains Tax,32.82
Tipperary,2024,Income Taxes,349.36
Tipperary,2024,Total,746.0400000000001
Waterford,2024,VAT,225.38
Waterford,2024,Corporation Tax,164.36
Waterford,2024,Capital Gains Tax,23.12
Waterford,2024,Income Taxes,369.65999999999997
Waterford,2024,Total,782.52
Westmeath,2024,VAT,164.58
Westmeath,2024,Corporation Tax,142.77
Westmeath,2024,Capital Gains Tax,27.65
Westmeath,2024,Income Taxes,1492.61
Westmeath,2024,Total,1827.61
Wexford,2024,VAT,241.48
Wexford,2024,Corporation Tax,134.15
Wexford,2024,Capital Gains Tax,26.65
Wexford,2024,Income Taxes,350.61
Wexford,2024,Total,752.89
Wicklow,2024,VAT,272.69
Wicklow,2024,Corporation Tax,90.68
Wicklow,2024,Capital Gains Tax,58.19
Wicklow,2024,Income Taxes,386.69000000000005
Wicklow,2024,Total,808.25
Other / Foreign,2024,VAT,1330.3
Other / Foreign,2024,Corporation Tax,192.98
Other / Foreign,2024,Capital Gains Tax,86.41
Other / Foreign,2024,Income Taxes,414.5
Other / Foreign,2024,Total,2024.19
Carlow,2023,VAT,101.94
Carlow,2023,Corporation Tax,32.87
Carlow,2023,Capital Gains Tax,4.97
Carlow,2023,Income Taxes,192.20999999999998
Carlow,2023,Total,331.98999999999995
Cavan,2023,VAT,129.54
Cavan,2023,Corporation Tax,66.99
Cavan,2023,Capital Gains Tax,14.9
Cavan,2023,Income Taxes,233.89
Cavan,2023,Total,445.32
Clare,2023,VAT,216.42
Clare,2023,Corporation Tax,181.13
Clare,2023,Capital Gains Tax,22.23
Clare,2023,Income Taxes,452.56
Clare,2023,Total,872.34
Cork,2023,VAT,1976.9
Cork,2023,Corporation Tax,7560.64
Cork,2023,Capital Gains Tax,205.51
Cork,2023,Income Taxes,2767.88
Cork,2023,Total,12510.93
Donegal,2023,VAT,181.26
Donegal,2023,Corporation Tax,71.77
Donegal,2023,Capital Gains Tax,14.35
Donegal,2023,Income Taxes,268.38
Donegal,2023,Total,535.76
Dublin,2023,VAT,10652.11
Dublin,2023,Corporation Tax,13150.32
Dublin,2023,Capital Gains Tax,685.9
Dublin,2023,Income Taxes,16443.45
Dublin,2023,Total,40931.78
Galway,2023,VAT,427.54
Galway,2023,Corporation Tax,309.14
Galway,2023,Capital Gains Tax,64.53
Galway,2023,Income Taxes,1265.8500000000001
Galway,2023,Total,2067.06
Kerry,2023,VAT,216.42
Kerry,2023,Corporation Tax,101.39
Kerry,2023,Capital Gains Tax,26.68
Kerry,2023,Income Taxes,866.8499999999999
Kerry,2023,Total,1211.34
Kildare,2023,VAT,544.71
Kildare,2023,Corporation Tax,288.77
Kildare,2023,Capital Gains Tax,76.94
Kildare,2023,Income Taxes,866.34
Kildare,2023,Total,1776.76
Kilkenny,2023,VAT,147.21
Kilkenny,2023,Corporation Tax,60.36
Kilkenny,2023,Capital Gains Tax,18.5
Kilkenny,2023,Income Taxes,456.96999999999997
Kilkenny,2023,Total,683.04
Laois,2023,VAT,112.75
Laois,2023,Corporation Tax,29.6
Laois,2023,Capital Gains Tax,6.48
Laois,2023,Income Taxes,131.26
Laois,2023,Total,280.09
Leitrim,2023,VAT,26.2
Leitrim,2023,Corporation Tax,15.52
Leitrim,2023,Capital Gains Tax,1.95
Leitrim,2023,Income Taxes,238.76
Leitrim,2023,Total,282.43
Limerick,2023,VAT,407.87
Limerick,2023,Corporation Tax,421.44
Limerick,2023,Capital Gains Tax,43.39
Limerick,2023,Income Taxes,964.99
Limerick,2023,Total,1837.69
Longford,2023,VAT,46.56
Longford,2023,Corporation Tax,21.56
Longford,2023,Capital Gains Tax,4.02
Longford,2023,Income Taxes,94.94
Longford,2023,Total,167.07999999999998
Louth,2023,VAT,288.01
Louth,2023,Corporation Tax,144.2
Louth,2023,Capital Gains Tax,28.9
Louth,2023,Income Taxes,393.02
Louth,2023,Total,854.13
Mayo,2023,VAT,171.33
Mayo,2023,Corporation Tax,174.18
Mayo,2023,Capital Gains Tax,16.61
Mayo,2023,Income Taxes,343.77
Mayo,2023,Total,705.89
Meath,2023,VAT,388.79
Meath,2023,Corporation Tax,256.3
Meath,2023,Capital Gains Tax,52.44
Meath,2023,Income Taxes,692.87
Meath,2023,Total,1390.4
Monaghan,2023,VAT,113.12
Monaghan,2023,Corporation Tax,64.85
Monaghan,2023,Capital Gains Tax,7.23
Monaghan,2023,Income Taxes,147.73
Monaghan,2023,Total,332.93
Offaly,2023,VAT,102.61
Offaly,2023,Corporation Tax,62.97
Offaly,2023,Capital Gains Tax,6.63
Offaly,2023,Income Taxes,383.45000000000005
Offaly,2023,Total,555.6600000000001
Roscommon,2023,VAT,95.05
Roscommon,2023,Corporation Tax,27.96
Roscommon,2023,Capital Gains Tax,5.46
Roscommon,2023,Income Taxes,100.65
Roscommon,2023,Total,229.12
Sligo,2023,VAT,189.85
Sligo,2023,Corporation Tax,48.51
Sligo,2023,Capital Gains Tax,6.41
Sligo,2023,Income Taxes,209.35000000000002
Sligo,2023,Total,454.12
Tipperary,2023,VAT,245.09
Tipperary,2023,Corporation Tax,85.08
Tipperary,2023,Capital Gains Tax,24.88
Tipperary,2023,Income Taxes,346.17
Tipperary,2023,Total,701.22
Waterford,2023,VAT,173.68
Waterford,2023,Corporation Tax,155.36
Waterford,2023,Capital Gains Tax,15.74
Waterford,2023,Income Taxes,361.32
Waterford,2023,Total,706.1
Westmeath,2023,VAT,142.88
Westmeath,2023,Corporation Tax,72.83
Westmeath,2023,Capital Gains Tax,19.62
Westmeath,2023,Income Taxes,1408.48
Westmeath,2023,Total,1643.81
Wexford,2023,VAT,224.27
Wexford,2023,Corporation Tax,148.11
Wexford,2023,Capital Gains Tax,18.72
Wexford,2023,Income Taxes,341.45
Wexford,2023,Total,732.55
Wicklow,2023,VAT,255.87
Wicklow,2023,Corporation Tax,102.34
Wicklow,2023,Capital Gains Tax,61.52
Wicklow,2023,Income Taxes,384.9
Wicklow,2023,Total,804.63
Other / Foreign,2023,VAT,1329.02
Other / Foreign,2023,Corporation Tax,187.8
Other / Foreign,2023,Capital Gains Tax,65.49
Other / Foreign,2023,Income Taxes,466.49
Other / Foreign,2023,Total,2048.8
Carlow,2022,VAT,86.53
